datetime,season,holiday,work_day,weather,temperature,apparent_temperature,humidity,windspeed,casual_renter_count,registered_renter_count,renter_count,month,day_of_month,day_of_week,hour_of_day
2011-01-01 00:00:00,1,0,0,1,49.712,57.911,81,0.0,3,13,16,1,1,5,0
2011-01-01 01:00:00,1,0,0,1,48.236000000000004,56.543,80,0.0,8,32,40,1,1,5,1
2011-01-01 02:00:00,1,0,0,1,48.236000000000004,56.543,80,0.0,5,27,32,1,1,5,2
2011-01-01 03:00:00,1,0,0,1,49.712,57.911,75,0.0,3,10,13,1,1,5,3
2011-01-01 04:00:00,1,0,0,1,49.712,57.911,75,0.0,0,1,1,1,1,5,4
2011-01-01 05:00:00,1,0,0,2,49.712,55.184,75,6.0032,0,1,1,1,1,5,5
2011-01-01 06:00:00,1,0,0,1,48.236000000000004,56.543,80,0.0,2,0,2,1,1,5,6
2011-01-01 07:00:00,1,0,0,1,46.76,55.184,86,0.0,1,2,3,1,1,5,7
2011-01-01 08:00:00,1,0,0,1,49.712,57.911,75,0.0,1,7,8,1,1,5,8
2011-01-01 09:00:00,1,0,0,1,55.616,63.365,76,0.0,8,6,14,1,1,5,9
2011-01-01 10:00:00,1,0,0,1,60.044,67.451,76,16.9979,12,24,36,1,1,5,10
2011-01-01 11:00:00,1,0,0,1,58.568,61.997,81,19.0012,26,30,56,1,1,5,11
2011-01-01 12:00:00,1,0,0,1,62.995999999999995,70.178,77,19.0012,29,55,84,1,1,5,12
2011-01-01 13:00:00,1,0,0,2,65.94800000000001,72.905,72,19.9995,47,47,94,1,1,5,13
2011-01-01 14:00:00,1,0,0,2,65.94800000000001,72.905,72,19.0012,35,71,106,1,1,5,14
2011-01-01 15:00:00,1,0,0,2,64.47200000000001,71.54599999999999,77,19.9995,40,70,110,1,1,5,15
2011-01-01 16:00:00,1,0,0,2,62.995999999999995,70.178,82,19.9995,41,52,93,1,1,5,16
2011-01-01 17:00:00,1,0,0,2,64.47200000000001,71.54599999999999,82,19.0012,15,52,67,1,1,5,17
2011-01-01 18:00:00,1,0,0,3,62.995999999999995,70.178,88,16.9979,9,26,35,1,1,5,18
2011-01-01 19:00:00,1,0,0,3,62.995999999999995,70.178,88,16.9979,6,31,37,1,1,5,19
2011-01-01 20:00:00,1,0,0,2,61.519999999999996,68.81899999999999,87,16.9979,11,25,36,1,1,5,20
2011-01-01 21:00:00,1,0,0,2,61.519999999999996,68.81899999999999,87,12.998,3,31,34,1,1,5,21
2011-01-01 22:00:00,1,0,0,2,61.519999999999996,68.81899999999999,94,15.0013,11,17,28,1,1,5,22
2011-01-01 23:00:00,1,0,0,2,65.94800000000001,72.905,88,19.9995,15,24,39,1,1,5,23
2011-01-02 00:00:00,1,0,0,2,65.94800000000001,72.905,88,19.9995,4,13,17,1,2,6,0
2011-01-02 01:00:00,1,0,0,2,64.47200000000001,71.54599999999999,94,16.9979,1,16,17,1,2,6,1
2011-01-02 02:00:00,1,0,0,2,62.995999999999995,70.178,100,19.0012,1,8,9,1,2,6,2
2011-01-02 03:00:00,1,0,0,2,65.94800000000001,72.905,94,12.998,2,4,6,1,2,6,3
2011-01-02 04:00:00,1,0,0,2,65.94800000000001,72.905,94,12.998,2,1,3,1,2,6,4
2011-01-02 06:00:00,1,0,0,3,62.995999999999995,70.178,77,19.9995,0,2,2,1,2,6,6
2011-01-02 07:00:00,1,0,0,2,61.519999999999996,68.81899999999999,76,12.998,0,1,1,1,2,6,7
2011-01-02 08:00:00,1,0,0,3,61.519999999999996,68.81899999999999,71,15.0013,0,8,8,1,2,6,8
2011-01-02 09:00:00,1,0,0,2,60.044,67.451,76,15.0013,1,19,20,1,2,6,9
2011-01-02 10:00:00,1,0,0,2,58.568,63.365,81,15.0013,7,46,53,1,2,6,10
2011-01-02 11:00:00,1,0,0,2,58.568,61.997,71,16.9979,16,54,70,1,2,6,11
2011-01-02 12:00:00,1,0,0,2,58.568,61.997,66,19.9995,20,73,93,1,2,6,12
2011-01-02 13:00:00,1,0,0,2,58.568,63.365,66,8.9981,11,64,75,1,2,6,13
2011-01-02 14:00:00,1,0,0,3,58.568,63.365,76,12.998,4,55,59,1,2,6,14
2011-01-02 15:00:00,1,0,0,3,57.092,61.997,81,11.0014,19,55,74,1,2,6,15
2011-01-02 16:00:00,1,0,0,3,57.092,61.997,71,11.0014,9,67,76,1,2,6,16
2011-01-02 17:00:00,1,0,0,1,57.092,61.997,57,12.998,7,58,65,1,2,6,17
2011-01-02 18:00:00,1,0,0,2,58.568,61.997,46,22.0028,10,43,53,1,2,6,18
2011-01-02 19:00:00,1,0,0,1,55.616,57.911,42,30.0026,1,29,30,1,2,6,19
2011-01-02 20:00:00,1,0,0,1,54.14,56.543,39,23.9994,5,17,22,1,2,6,20
2011-01-02 21:00:00,1,0,0,1,51.188,52.457,44,22.0028,11,20,31,1,2,6,21
2011-01-02 22:00:00,1,0,0,1,49.712,51.089,44,19.9995,0,9,9,1,2,6,22
2011-01-02 23:00:00,1,0,0,1,48.236000000000004,52.457,47,11.0014,0,8,8,1,2,6,23
2011-01-03 00:00:00,1,0,1,1,48.236000000000004,49.730000000000004,44,23.9994,0,5,5,1,3,0,0
2011-01-03 01:00:00,1,0,1,1,46.76,47.003,44,27.9993,0,2,2,1,3,0,1
2011-01-03 04:00:00,1,0,1,1,43.808,44.276,47,26.0027,0,1,1,1,3,0,4
2011-01-03 05:00:00,1,0,1,1,43.808,44.276,47,19.0012,0,3,3,1,3,0,5
2011-01-03 06:00:00,1,0,1,1,42.332,41.549,50,26.0027,0,30,30,1,3,0,6
2011-01-03 07:00:00,1,0,1,1,42.332,44.276,50,12.998,1,63,64,1,3,0,7
2011-01-03 08:00:00,1,0,1,1,42.332,42.908,50,19.0012,1,153,154,1,3,0,8
2011-01-03 09:00:00,1,0,1,1,43.808,44.276,43,26.0027,7,81,88,1,3,0,9
2011-01-03 10:00:00,1,0,1,1,45.284,47.003,43,16.9979,11,33,44,1,3,0,10
2011-01-03 11:00:00,1,0,1,1,46.76,48.362,40,22.0028,10,41,51,1,3,0,11
2011-01-03 12:00:00,1,0,1,1,48.236000000000004,51.089,35,19.9995,13,48,61,1,3,0,12
2011-01-03 13:00:00,1,0,1,1,49.712,51.089,35,19.0012,8,53,61,1,3,0,13
2011-01-03 14:00:00,1,0,1,1,51.188,53.816,30,19.0012,11,66,77,1,3,0,14
2011-01-03 15:00:00,1,0,1,1,51.188,53.816,30,16.9979,14,58,72,1,3,0,15
2011-01-03 16:00:00,1,0,1,1,51.188,53.816,30,16.9979,9,67,76,1,3,0,16
2011-01-03 17:00:00,1,0,1,1,49.712,52.457,30,15.0013,11,146,157,1,3,0,17
2011-01-03 18:00:00,1,0,1,1,49.712,55.184,32,7.0015,9,148,157,1,3,0,18
2011-01-03 19:00:00,1,0,1,1,46.76,55.184,47,0.0,8,102,110,1,3,0,19
2011-01-03 20:00:00,1,0,1,1,46.76,52.457,47,7.0015,3,49,52,1,3,0,20
2011-01-03 21:00:00,1,0,1,1,45.284,49.730000000000004,64,8.9981,3,49,52,1,3,0,21
2011-01-03 22:00:00,1,0,1,1,42.332,45.635,69,8.9981,0,20,20,1,3,0,22
2011-01-03 23:00:00,1,0,1,1,45.284,51.089,55,7.0015,1,11,12,1,3,0,23
2011-01-04 00:00:00,1,0,1,1,43.808,48.362,55,7.0015,0,5,5,1,4,1,0
2011-01-04 01:00:00,1,0,1,1,43.808,48.362,59,7.0015,0,2,2,1,4,1,1
2011-01-04 02:00:00,1,0,1,1,42.332,45.635,63,8.9981,0,1,1,1,4,1,2
2011-01-04 04:00:00,1,0,1,1,42.332,48.362,63,6.0032,0,2,2,1,4,1,4
2011-01-04 05:00:00,1,0,1,1,40.856,45.635,68,7.0015,0,4,4,1,4,1,5
2011-01-04 06:00:00,1,0,1,1,40.856,45.635,74,7.0015,0,36,36,1,4,1,6
2011-01-04 07:00:00,1,0,1,1,40.856,45.635,74,8.9981,2,92,94,1,4,1,7
2011-01-04 08:00:00,1,0,1,1,42.332,45.635,69,11.0014,2,177,179,1,4,1,8
2011-01-04 09:00:00,1,0,1,1,43.808,45.635,64,15.0013,2,98,100,1,4,1,9
2011-01-04 10:00:00,1,0,1,2,43.808,44.276,69,22.0028,5,37,42,1,4,1,10
2011-01-04 11:00:00,1,0,1,1,48.236000000000004,51.089,51,19.9995,7,50,57,1,4,1,11
2011-01-04 12:00:00,1,0,1,1,48.236000000000004,52.457,51,11.0014,12,66,78,1,4,1,12
2011-01-04 13:00:00,1,0,1,1,49.712,52.457,56,12.998,18,79,97,1,4,1,13
2011-01-04 14:00:00,1,0,1,1,51.188,55.184,52,15.0013,9,54,63,1,4,1,14
2011-01-04 15:00:00,1,0,1,1,52.664,56.543,52,16.9979,17,48,65,1,4,1,15
2011-01-04 16:00:00,1,0,1,1,54.14,57.911,49,16.9979,15,68,83,1,4,1,16
2011-01-04 17:00:00,1,0,1,1,52.664,56.543,48,15.0013,10,202,212,1,4,1,17
2011-01-04 18:00:00,1,0,1,1,51.188,55.184,48,12.998,3,179,182,1,4,1,18
2011-01-04 19:00:00,1,0,1,1,49.712,55.184,48,7.0015,2,110,112,1,4,1,19
2011-01-04 20:00:00,1,0,1,1,49.712,55.184,48,7.0015,1,53,54,1,4,1,20
2011-01-04 21:00:00,1,0,1,1,48.236000000000004,56.543,64,0.0,0,48,48,1,4,1,21
2011-01-04 22:00:00,1,0,1,1,48.236000000000004,55.184,64,6.0032,1,34,35,1,4,1,22
2011-01-04 23:00:00,1,0,1,1,46.76,52.457,69,6.0032,2,9,11,1,4,1,23
2011-01-05 00:00:00,1,0,1,1,46.76,55.184,64,0.0,0,6,6,1,5,2,0
2011-01-05 01:00:00,1,0,1,1,43.808,49.730000000000004,74,6.0032,0,6,6,1,5,2,1
2011-01-05 02:00:00,1,0,1,1,43.808,49.730000000000004,74,6.0032,0,2,2,1,5,2,2
2011-01-05 04:00:00,1,0,1,1,49.712,52.457,48,15.0013,0,2,2,1,5,2,4
2011-01-05 05:00:00,1,0,1,1,48.236000000000004,52.457,47,11.0014,0,3,3,1,5,2,5
2011-01-05 06:00:00,1,0,1,1,46.76,49.730000000000004,47,15.0013,0,33,33,1,5,2,6
2011-01-05 07:00:00,1,0,1,1,45.284,48.362,43,12.998,1,87,88,1,5,2,7
2011-01-05 08:00:00,1,0,1,1,46.76,48.362,40,19.9995,3,192,195,1,5,2,8
2011-01-05 09:00:00,1,0,1,1,48.236000000000004,49.730000000000004,37,22.0028,6,109,115,1,5,2,9
2011-01-05 10:00:00,1,0,1,1,48.236000000000004,49.730000000000004,37,22.0028,4,53,57,1,5,2,10
2011-01-05 11:00:00,1,0,1,1,51.188,52.457,33,22.0028,12,34,46,1,5,2,11
2011-01-05 12:00:00,1,0,1,1,51.188,52.457,33,22.0028,5,74,79,1,5,2,12
2011-01-05 13:00:00,1,0,1,1,52.664,55.184,30,19.9995,6,65,71,1,5,2,13
2011-01-05 14:00:00,1,0,1,1,54.14,57.911,28,12.998,10,52,62,1,5,2,14
2011-01-05 15:00:00,1,0,1,1,54.14,57.911,28,12.998,7,55,62,1,5,2,15
2011-01-05 16:00:00,1,0,1,1,54.14,60.638000000000005,28,6.0032,4,85,89,1,5,2,16
2011-01-05 17:00:00,1,0,1,1,49.712,52.457,38,12.998,4,186,190,1,5,2,17
2011-01-05 18:00:00,1,0,1,1,49.712,53.816,38,8.9981,3,166,169,1,5,2,18
2011-01-05 19:00:00,1,0,1,1,49.712,55.184,38,7.0015,5,127,132,1,5,2,19
2011-01-05 20:00:00,1,0,1,1,48.236000000000004,52.457,47,11.0014,7,82,89,1,5,2,20
2011-01-05 21:00:00,1,0,1,1,46.76,49.730000000000004,51,12.998,3,40,43,1,5,2,21
2011-01-05 22:00:00,1,0,1,1,45.284,49.730000000000004,55,8.9981,1,41,42,1,5,2,22
2011-01-05 23:00:00,1,0,1,1,46.76,55.184,47,0.0,1,18,19,1,5,2,23
2011-01-06 00:00:00,1,0,1,1,45.284,53.816,55,0.0,0,11,11,1,6,3,0
2011-01-06 01:00:00,1,0,1,1,43.808,52.457,64,0.0,0,4,4,1,6,3,1
2011-01-06 02:00:00,1,0,1,1,43.808,52.457,64,0.0,0,2,2,1,6,3,2
2011-01-06 04:00:00,1,0,1,2,43.808,49.730000000000004,64,6.0032,0,1,1,1,6,3,4
2011-01-06 05:00:00,1,0,1,2,42.332,48.362,69,6.0032,0,4,4,1,6,3,5
2011-01-06 06:00:00,1,0,1,2,42.332,47.003,63,7.0015,0,36,36,1,6,3,6
2011-01-06 07:00:00,1,0,1,2,43.808,52.457,59,0.0,0,95,95,1,6,3,7
2011-01-06 08:00:00,1,0,1,1,43.808,52.457,59,0.0,3,216,219,1,6,3,8
2011-01-06 09:00:00,1,0,1,2,45.284,53.816,51,0.0,6,116,122,1,6,3,9
2011-01-06 10:00:00,1,0,1,1,46.76,55.184,47,0.0,3,42,45,1,6,3,10
2011-01-06 11:00:00,1,0,1,1,48.236000000000004,55.184,44,6.0032,2,57,59,1,6,3,11
2011-01-06 12:00:00,1,0,1,1,51.188,57.911,35,0.0,6,78,84,1,6,3,12
2011-01-06 13:00:00,1,0,1,1,51.188,56.543,35,7.0015,12,55,67,1,6,3,13
2011-01-06 14:00:00,1,0,1,1,52.664,56.543,36,11.0014,11,59,70,1,6,3,14
2011-01-06 15:00:00,1,0,1,1,52.664,56.543,36,0.0,8,54,62,1,6,3,15
2011-01-06 16:00:00,1,0,1,1,51.188,55.184,38,11.0014,12,74,86,1,6,3,16
2011-01-06 17:00:00,1,0,1,1,48.236000000000004,52.457,51,11.0014,9,163,172,1,6,3,17
2011-01-06 18:00:00,1,0,1,1,48.236000000000004,52.457,51,8.9981,5,158,163,1,6,3,18
2011-01-06 19:00:00,1,0,1,1,48.236000000000004,55.184,55,6.0032,3,109,112,1,6,3,19
2011-01-06 20:00:00,1,0,1,1,46.76,51.089,51,11.0014,3,66,69,1,6,3,20
2011-01-06 21:00:00,1,0,1,2,48.236000000000004,51.089,55,15.0013,0,48,48,1,6,3,21
2011-01-06 22:00:00,1,0,1,2,48.236000000000004,51.089,51,19.0012,1,51,52,1,6,3,22
2011-01-06 23:00:00,1,0,1,2,46.76,49.730000000000004,59,12.998,4,19,23,1,6,3,23
2011-01-07 00:00:00,1,0,1,2,46.76,49.730000000000004,64,12.998,4,13,17,1,7,4,0
2011-01-07 01:00:00,1,0,1,2,46.76,49.730000000000004,69,15.0013,2,5,7,1,7,4,1
2011-01-07 02:00:00,1,0,1,2,46.76,49.730000000000004,69,15.0013,0,1,1,1,7,4,2
2011-01-07 04:00:00,1,0,1,2,46.76,51.089,69,8.9981,0,1,1,1,7,4,4
