temperature,apparent_temperature,humidity,windspeed,rental_count
49.711999999999996,57.911,81,0.0,16
48.236,56.543,80,0.0,40
48.236,56.543,80,0.0,32
49.711999999999996,57.911,75,0.0,13
49.711999999999996,57.911,75,0.0,1
49.711999999999996,55.184,75,6.0032,1
48.236,56.543,80,0.0,2
46.76,55.184,86,0.0,3
49.711999999999996,57.911,75,0.0,8
55.61600000000001,63.365,76,0.0,14
60.044,67.45100000000001,76,16.9979,36
58.568000000000005,61.997,81,19.0012,56
62.996,70.178,77,19.0012,84
65.94800000000001,72.905,72,19.9995,94
65.94800000000001,72.905,72,19.0012,106
64.47200000000001,71.54599999999998,77,19.9995,110
62.996,70.178,82,19.9995,93
64.47200000000001,71.54599999999998,82,19.0012,67
62.996,70.178,88,16.9979,35
62.996,70.178,88,16.9979,37
61.52,68.81899999999999,87,16.9979,36
61.52,68.81899999999999,87,12.998,34
61.52,68.81899999999999,94,15.0013,28
65.94800000000001,72.905,88,19.9995,39
65.94800000000001,72.905,88,19.9995,17
64.47200000000001,71.54599999999998,94,16.9979,17
62.996,70.178,100,19.0012,9
65.94800000000001,72.905,94,12.998,6
65.94800000000001,72.905,94,12.998,3
62.996,70.178,77,19.9995,2
61.52,68.81899999999999,76,12.998,1
61.52,68.81899999999999,71,15.0013,8
60.044,67.45100000000001,76,15.0013,20
58.568000000000005,63.365,81,15.0013,53
58.568000000000005,61.997,71,16.9979,70
58.568000000000005,61.997,66,19.9995,93
58.568000000000005,63.365,66,8.9981,75
58.568000000000005,63.365,76,12.998,59
57.092,61.997,81,11.0014,74
57.092,61.997,71,11.0014,76
57.092,61.997,57,12.998,65
58.568000000000005,61.997,46,22.0028,53
55.61600000000001,57.911,42,30.0026,30
54.14,56.543,39,23.9994,22
51.188,52.457,44,22.0028,31
49.711999999999996,51.089,44,19.9995,9
48.236,52.457,47,11.0014,8
48.236,49.73,44,23.9994,5
46.76,47.003,44,27.9993,2
43.808,44.276,47,26.0027,1
43.808,44.276,47,19.0012,3
42.332,41.549,50,26.0027,30
42.332,44.276,50,12.998,64
42.332,42.908,50,19.0012,154
43.808,44.276,43,26.0027,88
45.284,47.003,43,16.9979,44
46.76,48.361999999999995,40,22.0028,51
48.236,51.089,35,19.9995,61
49.711999999999996,51.089,35,19.0012,61
51.188,53.816,30,19.0012,77
51.188,53.816,30,16.9979,72
51.188,53.816,30,16.9979,76
49.711999999999996,52.457,30,15.0013,157
49.711999999999996,55.184,32,7.0015,157
46.76,55.184,47,0.0,110
46.76,52.457,47,7.0015,52
45.284,49.73,64,8.9981,52
42.332,45.635,69,8.9981,20
45.284,51.089,55,7.0015,12
43.808,48.361999999999995,55,7.0015,5
43.808,48.361999999999995,59,7.0015,2
42.332,45.635,63,8.9981,1
42.332,48.361999999999995,63,6.0032,2
40.856,45.635,68,7.0015,4
40.856,45.635,74,7.0015,36
40.856,45.635,74,8.9981,94
42.332,45.635,69,11.0014,179
43.808,45.635,64,15.0013,100
43.808,44.276,69,22.0028,42
48.236,51.089,51,19.9995,57
48.236,52.457,51,11.0014,78
49.711999999999996,52.457,56,12.998,97
51.188,55.184,52,15.0013,63
52.663999999999994,56.543,52,16.9979,65
54.14,57.911,49,16.9979,83
52.663999999999994,56.543,48,15.0013,212
51.188,55.184,48,12.998,182
49.711999999999996,55.184,48,7.0015,112
49.711999999999996,55.184,48,7.0015,54
48.236,56.543,64,0.0,48
48.236,55.184,64,6.0032,35
46.76,52.457,69,6.0032,11
46.76,55.184,64,0.0,6
43.808,49.73,74,6.0032,6
43.808,49.73,74,6.0032,2
49.711999999999996,52.457,48,15.0013,2
48.236,52.457,47,11.0014,3
46.76,49.73,47,15.0013,33
45.284,48.361999999999995,43,12.998,88
46.76,48.361999999999995,40,19.9995,195
48.236,49.73,37,22.0028,115
48.236,49.73,37,22.0028,57
51.188,52.457,33,22.0028,46
51.188,52.457,33,22.0028,79
52.663999999999994,55.184,30,19.9995,71
54.14,57.911,28,12.998,62
54.14,57.911,28,12.998,62
54.14,60.63800000000001,28,6.0032,89
49.711999999999996,52.457,38,12.998,190
49.711999999999996,53.816,38,8.9981,169
49.711999999999996,55.184,38,7.0015,132
48.236,52.457,47,11.0014,89
46.76,49.73,51,12.998,43
45.284,49.73,55,8.9981,42
46.76,55.184,47,0.0,19
45.284,53.816,55,0.0,11
43.808,52.457,64,0.0,4
43.808,52.457,64,0.0,2
43.808,49.73,64,6.0032,1
42.332,48.361999999999995,69,6.0032,4
42.332,47.003,63,7.0015,36
43.808,52.457,59,0.0,95
43.808,52.457,59,0.0,219
45.284,53.816,51,0.0,122
46.76,55.184,47,0.0,45
48.236,55.184,44,6.0032,59
51.188,57.911,35,0.0,84
51.188,56.543,35,7.0015,67
52.663999999999994,56.543,36,11.0014,70
52.663999999999994,56.543,36,0.0,62
51.188,55.184,38,11.0014,86
48.236,52.457,51,11.0014,172
48.236,52.457,51,8.9981,163
48.236,55.184,55,6.0032,112
46.76,51.089,51,11.0014,69
48.236,51.089,55,15.0013,48
48.236,51.089,51,19.0012,52
46.76,49.73,59,12.998,23
46.76,49.73,64,12.998,17
46.76,49.73,69,15.0013,7
46.76,49.73,69,15.0013,1
46.76,51.089,69,8.9981,1
48.236,56.543,55,0.0,5
46.76,55.184,69,0.0,34
46.76,51.089,69,8.9981,84
46.76,49.73,51,16.9979,210
46.76,48.361999999999995,47,19.9995,134
48.236,49.73,37,22.0028,63
46.76,49.73,40,15.0013,67
46.76,49.73,37,16.9979,59
